"accuracy","cl","alpha","n"
68.5,"knn",1,10
63,"knn",1.1,10
63,"knn",1.2,10
65,"knn",1.3,10
56.5,"knn",1.4,10
60,"knn",1.5,10
50,"knn",1.6,10
49,"knn",1.7,10
48.5,"knn",1.8,10
50,"knn",1.9,10
82,"knn",1,31.1111111111111
85.5,"knn",1.1,31.1111111111111
79,"knn",1.2,31.1111111111111
68.5,"knn",1.3,31.1111111111111
72.5,"knn",1.4,31.1111111111111
70.5,"knn",1.5,31.1111111111111
62.5,"knn",1.6,31.1111111111111
56,"knn",1.7,31.1111111111111
43,"knn",1.8,31.1111111111111
53.5,"knn",1.9,31.1111111111111
92,"knn",1,52.2222222222222
80.5,"knn",1.1,52.2222222222222
83.5,"knn",1.2,52.2222222222222
91.5,"knn",1.3,52.2222222222222
81,"knn",1.4,52.2222222222222
76,"knn",1.5,52.2222222222222
77.5,"knn",1.6,52.2222222222222
64.5,"knn",1.7,52.2222222222222
53.5,"knn",1.8,52.2222222222222
49.5,"knn",1.9,52.2222222222222
91,"knn",1,73.3333333333333
88.5,"knn",1.1,73.3333333333333
87,"knn",1.2,73.3333333333333
88.5,"knn",1.3,73.3333333333333
88,"knn",1.4,73.3333333333333
85.5,"knn",1.5,73.3333333333333
77.5,"knn",1.6,73.3333333333333
74.5,"knn",1.7,73.3333333333333
57.5,"knn",1.8,73.3333333333333
53.5,"knn",1.9,73.3333333333333
93.5,"knn",1,94.4444444444444
92,"knn",1.1,94.4444444444444
91.5,"knn",1.2,94.4444444444444
95,"knn",1.3,94.4444444444444
84,"knn",1.4,94.4444444444444
90,"knn",1.5,94.4444444444444
77,"knn",1.6,94.4444444444444
72.5,"knn",1.7,94.4444444444444
66,"knn",1.8,94.4444444444444
54,"knn",1.9,94.4444444444444
95,"knn",1,115.555555555556
94.5,"knn",1.1,115.555555555556
92.5,"knn",1.2,115.555555555556
94.5,"knn",1.3,115.555555555556
89.5,"knn",1.4,115.555555555556
87.5,"knn",1.5,115.555555555556
83.5,"knn",1.6,115.555555555556
78,"knn",1.7,115.555555555556
67.5,"knn",1.8,115.555555555556
51,"knn",1.9,115.555555555556
97,"knn",1,136.666666666667
96.5,"knn",1.1,136.666666666667
99,"knn",1.2,136.666666666667
97,"knn",1.3,136.666666666667
92,"knn",1.4,136.666666666667
86,"knn",1.5,136.666666666667
87,"knn",1.6,136.666666666667
81,"knn",1.7,136.666666666667
70.5,"knn",1.8,136.666666666667
57,"knn",1.9,136.666666666667
96,"knn",1,157.777777777778
94,"knn",1.1,157.777777777778
94.5,"knn",1.2,157.777777777778
95,"knn",1.3,157.777777777778
92.5,"knn",1.4,157.777777777778
92,"knn",1.5,157.777777777778
94,"knn",1.6,157.777777777778
83,"knn",1.7,157.777777777778
72.5,"knn",1.8,157.777777777778
57,"knn",1.9,157.777777777778
95.5,"knn",1,178.888888888889
95.5,"knn",1.1,178.888888888889
94.5,"knn",1.2,178.888888888889
95.5,"knn",1.3,178.888888888889
96,"knn",1.4,178.888888888889
92.5,"knn",1.5,178.888888888889
91,"knn",1.6,178.888888888889
82.5,"knn",1.7,178.888888888889
73,"knn",1.8,178.888888888889
58,"knn",1.9,178.888888888889
99.5,"knn",1,200
96.5,"knn",1.1,200
93.5,"knn",1.2,200
93.5,"knn",1.3,200
96,"knn",1.4,200
91.5,"knn",1.5,200
87.5,"knn",1.6,200
89,"knn",1.7,200
73.5,"knn",1.8,200
60.5,"knn",1.9,200
84.5,"qda",1,10
70.5,"qda",1.1,10
74,"qda",1.2,10
71.5,"qda",1.3,10
68,"qda",1.4,10
69,"qda",1.5,10
60,"qda",1.6,10
58.5,"qda",1.7,10
51,"qda",1.8,10
51.5,"qda",1.9,10
94,"qda",1,31.1111111111111
95.5,"qda",1.1,31.1111111111111
91,"qda",1.2,31.1111111111111
89.5,"qda",1.3,31.1111111111111
84.5,"qda",1.4,31.1111111111111
84.5,"qda",1.5,31.1111111111111
78,"qda",1.6,31.1111111111111
67,"qda",1.7,31.1111111111111
59.5,"qda",1.8,31.1111111111111
50,"qda",1.9,31.1111111111111
98.5,"qda",1,52.2222222222222
98,"qda",1.1,52.2222222222222
96.5,"qda",1.2,52.2222222222222
98,"qda",1.3,52.2222222222222
92.5,"qda",1.4,52.2222222222222
89.5,"qda",1.5,52.2222222222222
85,"qda",1.6,52.2222222222222
79.5,"qda",1.7,52.2222222222222
66,"qda",1.8,52.2222222222222
58.5,"qda",1.9,52.2222222222222
99.5,"qda",1,73.3333333333333
100,"qda",1.1,73.3333333333333
98.5,"qda",1.2,73.3333333333333
97,"qda",1.3,73.3333333333333
98.5,"qda",1.4,73.3333333333333
93.5,"qda",1.5,73.3333333333333
90.5,"qda",1.6,73.3333333333333
82,"qda",1.7,73.3333333333333
69,"qda",1.8,73.3333333333333
61.5,"qda",1.9,73.3333333333333
100,"qda",1,94.4444444444444
99.5,"qda",1.1,94.4444444444444
99.5,"qda",1.2,94.4444444444444
99,"qda",1.3,94.4444444444444
97.5,"qda",1.4,94.4444444444444
98.5,"qda",1.5,94.4444444444444
94,"qda",1.6,94.4444444444444
86,"qda",1.7,94.4444444444444
77.5,"qda",1.8,94.4444444444444
64.5,"qda",1.9,94.4444444444444
99.5,"qda",1,115.555555555556
100,"qda",1.1,115.555555555556
98.5,"qda",1.2,115.555555555556
99,"qda",1.3,115.555555555556
98.5,"qda",1.4,115.555555555556
98,"qda",1.5,115.555555555556
95,"qda",1.6,115.555555555556
92.5,"qda",1.7,115.555555555556
77.5,"qda",1.8,115.555555555556
58.5,"qda",1.9,115.555555555556
100,"qda",1,136.666666666667
98.5,"qda",1.1,136.666666666667
100,"qda",1.2,136.666666666667
100,"qda",1.3,136.666666666667
100,"qda",1.4,136.666666666667
98,"qda",1.5,136.666666666667
